<<<<<<< Updated upstream
Nome da Vaga;Nome da Empresa;Nível de Experiência;Data de Publicação;Faixa Salarial;Localização;Modelo Contratual;Benefícios;Descrição do Cargo;Descrição da Empresa
Analista Contábil Jr;Confidencial;146;Júnior/ Trainee;Publicada há 6 dias;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Seguro de vida + Vale-alimentação + Vale-refeição + Vale-transporte;Incentivamos à candidatura de todas as pessoas para nossas vagas independentemente de gênero, religião, etnia, idade, orientação afetivo sexual, ter deficiência, raça ou outro marcador identitário.  Respeitamos as individualidades e trabalhamos para promover uma cultura inclusiva, que busca a equidade e valoriza as diferenças.  Estamos em busca de um profissional da área contábil para atuar em nosso escritório de São Paulo.  Descrição das atividades:    Requisitos necessários:    Benefícios fornecidos pela empresa:  Espanhol - Nível Intermediário   ;
Analista de Marketing;FACILITY;147;Júnior/ Trainee;Publicada em 27/09/2024;R$ 3.000 a R$ 3.100;Nova Iguaçu;Regime CLT;Assistência médica + Assistência odontológica + Auxílio creche + Cesta básica + Convênio com empresas parceiras + Refeitório;" Área: Marketing  Sobre a área: O departamento de marketing tem como principal finalidade estudar o mercado e os clientes. Determinar o melhor modo para atingir estes clientes (definição de target) e representar a empresa com uma voz consistente.  Missão da função:   Sua missão é desenvolver e implementar estratégias de marketing e comunicação, elaborar e desenvolver materiais promocionais, campanhas em mídia online e offline através de pesquisas de mercado e dá suporte aos setores internos.  Principais atividades e responsabilidades:  • Acompanhar e colaborar no planejamento de campanhas de marketing, incluindo o desenvolvimento de planos de divulgação multiplataforma alinhados com estratégias de posicionamento da marca (calendário de eventos, estratégia de programação de distribuição) e análise de mercado; • Montar calendário editorial da marca; • Acompanhamento de conteúdos estratégicos de marketing; • Interagir e desenvolver relacionamento com parceiros: pesquisa, briefings, captação de novas parcerias (clube de vantagens, Influencers da marca e outros); • Monitorar métricas e KPIs para avaliar o desempenho das campanhasr propor ações de melhoria; • Aumentar o engajamento nas redes sociais; • Criar e orientar a produção de materiais de apoio, como vídeos, webinars, artigos e landing pagues para reforçar a comunicação com leads; • Elaborar campanhas para o time de marketing digital e design, alinhando a estratégia com a equipe; • Acompanhar, analisar e criações de anúncios e e-mail de marketing, assegurando sua qualidade e aderência à estratégia; • Da suporte a Coordenadora de marketing; • Colaborar com a equipe de vends para garantir a execução eficaz das estratégias de marketing e suporte/acompanhamento nas ações de trade marketing; • Desenvolver estratégias para aquisição de tráfego online: analisar, entender e otimizar as jornadas de aquisição de ledas, identificando os fatores que foram decisivos para cada resultado.    Requisitos:      Português - Nível Avançado Habilidades:  • Conhecimento avançado em estratégias e técnicas de marketing;  • Conhecimento avançado em Pacote Adobe e outras ferramentas de criação, Canvas, Corel Draw;  • Conhecimento em ferramentas de análise de dados e marketing digital;  • Criação de páginas e landing Page;  • Criação de artes  • Envio de Email Marketing;  • Conhecimento em RD Statiom CRM;  • Conhecimento em RD Statiom Marketing.";Missão: Nosso propósito é facilitar o acesso a benefícios e proteção para tudo aquilo que entendemos ser importante para os associados: família, casa e veículo, proporcionando uma melhor qualidade de vida.  Visão: Ser referência de qualidade, fazendo com que a Facility seja reconhecida nacionalmente como a melhor associação de benefícios e proteção veicular.  Valores:     
Analista de Processos;Chammas;148;Júnior/ Trainee;Publicada em 27/09/2024;a combinar;Belo Horizonte;Regime CLT;; Chammas Engenharia;
Analista de Desenvolvimento;Universidade Tiradentes - SE;149;Auxiliar/ Operacional;Publicada em 25/09/2024;a combinar;Aracaju;Regime CLT;Assistência médica + Assistência odontológica + Bolsa auxílio + Consignado + Ginástica laboral + Seguro de vida;-Realizar prospecção ativa de empresas, instituições e profissionais do mercado para participar de eventos com temas voltados à empregabilidade e desenvolvimento profissional.  -Desenvolver e manter parcerias estratégicas com empresas e organizações para promover oportunidades de networking e envolvimento em iniciativas institucionais.  -Manter relacionamento contínuo com parceiros externos, identificando novas oportunidades de colaboração.  -Acompanhamento de Engajamento e Participação dos Alunos:  -Monitorar a participação dos alunos nos eventos organizados, garantindo que eles estejam engajados e aproveitem ao máximo as oportunidades oferecidas.  -Elaborar relatórios de presença e participação, analisando dados para identificar tendências e oportunidades de melhoria.  -Realizar ações de incentivo à participação, promovendo o engajamento dos alunos através de comunicação eficiente e motivadora.  -Coordenar todas as etapas de planejamento e execução dos eventos, desde a concepção até a finalização.  -Garantir que os eventos estejam devidamente cadastrados e divulgados nos portais institucionais, seguindo os padrões e prazos estabelecidos pela instituição.  -Trabalhar em conjunto com as equipes internas para assegurar a logística dos eventos (CCS, MKT e Polos) ;A Universidade Tiradentes é referência de Ensino no Norte/Nordeste, com cinco campi instalados em Sergipe e mais de 20 polos de ensino à distância. A UNIT contempla ainda moderna infraestrutura, laboratórios equipados com tecnologia de última geração, tudo para a formação de excelência de profissionais nas áreas de humanas, exatas, saúde e em tecnologias, como também para os cursos de Pós-graduação lato sensu e stricto sensu e Mestrado em Saúde, Educação e Engenharia de Processos.   Site https://www.unit.br    
Analista de Processos Pl;Saint Gobain Abrasivos;150;Auxiliar/ Operacional;Publicada em 03/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio creche + Auxílio farmácia + Consignado;Atividades:  Requisitos Obrigatórios:  Inglês - Nível Intermediário Requisitos Desejáveis:;A Saint-Gobain Abrasivos é uma multinacional francesa, com mais de 359 anos de história, detentora das marcas Norton, Carborundum, atua no Brasil há mais de 60 anos como líder no mercado de produtos abrasivos voltados para diversos segmentos, entre eles construção civil, industrial e automotivo.  Esta liderança foi conquistada através de um forte compromisso de fornecer sempre soluções completas para nossos clientes, aliando-se uma completa linha de produtos de diferentes marcas e serviços altamente especializados.
Analista Ambiental;Newell Brands Brasil;151;Júnior/ Trainee;Publicada em 17/09/2024;a combinar;Ilhéus;Regime CLT;Assistência médica + Assistência odontológica + Auxílio creche + Auxílio farmácia + Participação nos Lucros ou Resultados + Restaurante interno;"Vaga: Analista Ambiental  Descrição da vaga: Estamos em busca de um Analista Ambiental para se juntar à nossa equipe. O candidato ideal terá experiência em avaliação de impacto ambiental, gestão de resíduos, licenciamento ambiental e monitoramento ambiental.  Responsabilidades: Emitir relatórios ambientais e da sustentabilidade demonstrando o desempenho ambiental da organização, com base nos dados extraídos dos setores e seus processos; Manter as documentações do sistema de gestão ambiental atualizadas e distribuição adequada; Registrar, Acompanhar e tratar Não Conformidades; Realizar Auditorias Internas.  Requisitos:  Local de trabalho: Ilhéus - BA  Tipo de contrato: CLT  Candidatura: Se você atende aos requisitos acima e está interessado nesta oportunidade, clique no botão ""candidate-se"" abaixo e envie seu currículo atualizado. Inglês - Nível Intermediário Habilidade em comunicação e trabalho em equipe;  Informática: Word, Excel, Power Point;  Software Gestão de Requsitos Legais  Sistema Datasul.";A Newell Brands (NASDAQ: NWL) é uma empresa líder mundial em bens de consumo com um forte portifólio de marcas bem conhecidas, incluindo Oster, Cadence, Invicta, Contigo, NUK, Lillo, MAPA Spontex, Rubbermaid e Paper Mate. A Newell está focada em encantar os consumidores, iluminando seus momentos do dia a dia. Somos uma empresa de US$ 16 bilhões com fantásticas oportunidades de crescimento. Como equipe, aspiramos a ser uma empresa digitalmente e operacionalmente excelente, que constrói marcas, inova e que é uma força para o bem, promovendo um lugar incrível para trabalhar, crescer e prosperar.
Analista de Controladoria Pleno;DHL Express;152;Pleno;Publicada em 23/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio creche + Auxílio desenvolvimento + Auxílio estacionamento;"Estamos em busca de um Analista de Controladoria Pleno para se juntar à nossa equipe! Se você é apaixonado por finanças e tem experiência em controladoria, essa pode ser a oportunidade que você estava procurando.  Responsabilidades: • Auxiliar no fechamento mensal das contas de resultado; • Realizar análises de variações de custos por conta e centro de custos em busca de oportunidades; • Realizar análises de variações dos principais KPIs de receita para report à alta gestão; • Controle, manutenção e criação de contas contábeis e centro de custos de acordo com às normas do grupo; • Lançamentos contábeis; • Revisão e garantia de aderência dos controles internos na frequência estabelecida; • Participação em projetos para implementação de novos sistemas; • Auxiliar em atividades de budget e Forecast; • Reports mensais.   Requisitos:  Se você se encaixa nesse perfil e está em busca de novos desafios, candidate-se agora mesmo através do botão abaixo! Inglês - Nível Avançado";Na DHL Express, cada indivíduo é único e as diferenças contribuem e promovem um ambiente inclusivo baseado em valores e ações. Acreditamos que a diversidade nos fortalece e, dessa forma, reunimos em nosso time a pluralidade de cores, crenças, culturas, deficiências, idades, identidades de gênero, nacionalidades, orientações sexuais, raças, religiões...” Você quer fazer a diferença? Então venha para a nossa equipe “Intensamente Focada nos Clientes” e se torne um Especialista Internacional Certificado! Consideramos, para todas as nossas vagas, candidatos PcD. Junte-se a nós!  
Analista de Laboratório Jr;Merieux Nutrisciences;153;Júnior/ Trainee;Publicada em 27/09/2024;R$ 2.100 a R$ 2.101;Serra;Regime CLT;Assistência médica + Assistência odontológica + Auxílio farmácia + Convênio com empresas parceiras + Ginástica laboral + Participação nos Lucros ou Resultados;"Principais atividades: • Realizar análises críticas visando garantir a qualidade e atender as necessidades do cliente; • Parametrizar e operar os equipamentos computadorizados desde a calibração até a liberação dos resultados para posterior assinatura quando necessário e solicitado pelo gestor; • Controlar quantidade, validade e eficácia dos Padrões Analíticos visando garantir qualidade nas análises; • Realizar a leitura dos dados dos ensaios laboratoriais, analisar e efetuar o lançamento dos resultados no Sistema quando necessário e solicitado pelo gestor; • Atuar no preparo, fracionamento e realização do ensaio analíticos; • Preparar de reagentes e todos os demais materiais que serão utilizados nos ensaios; • Executar os ensaios de proficiência quando necessário e solicitado pelo gestor; • Lançar no sistema e analisar as cartas controle, encaminhar para o responsável quando não conforme, visando garantia da qualidade quando necessário e solicitado pelo gestor; • Realizar descarte de amostra após conclusão dos ensaios; • Leitura + Repique       Vaga aberta também para portadores de necessidades especiais. ";Nossa missão A Mérieux NutriSciences dedica-se a proteger a saúde dos consumidores em todo o mundo, oferecendo uma vasta gama de soluções em análises e estudos às empresas dos setores de alimentos, água e meio ambiente, agroquímicos, fármacos e bens de consumo.   Nossa visão Seguindo os passos da família Mérieux e Dr. Silliker, colocamos a saúde e o bem-estar dos consumidores no centro das nossas atividades. Fornecemos os melhores serviços aos nossos clientes para ajudá-los a garantir a segurança e qualidade de seus produtos e prevenir riscos à saúde.   Nossos valores Colaboração Equilíbrio na Vida Empoderamento Empreendedorismo Relações Autênticas    Nossos números no mundo Estamos presentes em 27 países. Temos mais de 8000 colaboradores comprometidos com as necessidades dos nossos clientes. Operamos mais de 100 laboratórios acreditados em todo o mundo.  A Mérieux Nutrisciences acredita na igualdade de oportunidades. Independentemente de gênero, idade, raça, cor, credo, orientação sexual e deficiência, todos os candidatos qualificados serão considerados em nossos processos.
Analista de Transporte Pleno;J&T Express;154;Pleno;Publicada em 27/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Seguro de vida + Vale-alimentação + Vale-refeição;Resumo da Posição: O Analista de Transporte Pleno é responsável por otimizar as operações logísticas, gerenciar rotas e custos de transporte, e garantir a eficiência na entrega de produtos. Este profissional atua como um elo entre as áreas de logística, suprimentos e vendas, contribuindo para a melhoria contínua dos processos de transporte.  Responsabilidades:  Planejar e coordenar as operações de transporte, garantindo que os prazos sejam cumpridos. Analisar dados de transporte e identificar oportunidades de melhoria de eficiência e redução de custos. Monitorar a performance dos fornecedores de transporte e realizar avaliações periódicas. Desenvolver e implementar políticas e procedimentos de transporte. Colaborar com outras áreas da empresa para alinhar estratégias logísticas. Realizar estudos de viabilidade para novas rotas e modais de transporte. Manter-se atualizado sobre tendências e regulamentações do setor de transporte. Elaborar relatórios de desempenho e apresentar resultados à gerência. Requisitos:  Formação em Logística, Administração, Engenharia ou áreas correlatas. Experiência anterior em logística e transporte, preferencialmente em posição similar. Conhecimento em sistemas de gestão de transporte (TMS) e ferramentas de análise de dados.  Diferenciais:  Certificações na área de logística ou transporte. Experiência com análise de KPIs e relatórios de desempenho. Conhecimento em normas e regulamentações de transporte. Habilidade em negociação e gestão de fornecedores.  Capacidade analítica e foco em resultados.  Boa comunicação e trabalho em equipe.;"A J&T Express é conhecida como uma das maiores empresas do setor de transportes de logística, entrega expressa, armazenamento e cadeia de suprimentos. Estamos presentes em 13 países, como Indonésia, Vietnã, Malásia, Filipinas, Tailândia, Cambodja, Singapura, China, Arábia Saudita, Emirados Árabes Unidos, México e Brasil. Nossos serviços alcançam mais de 2 bilhões de pessoas ao redor do mundo. Todos os dias fornecemos aos nossos clientes uma experiência de entrega expressa de excelente qualidade e eficiência, altamente confiável, trazendo mais benefícios às pessoas e fazendo com que elas aproveitem as transformações da economia digital.   Nossos números: 240 centros de transferências de larga escala; 1.000 equipamentos de triagem inteligente; 23.000 pontos de distribuição; 400.000 colaboradores; Nossos serviços atingem 2,5 bilhões de pessoas ao redor do mundo.  Venha construir um futuro melhor conosco!"
Analista de Vendas;JOBCENTER DO BRASIL LTDA;155;Júnior/ Trainee;Publicada em 30/09/2024;a combinar;Indaiatuba;Temporário;; Empresa Multinacional de grande porte.;
Analista de Controladoria Pleno;União Química Farmacêutica Nacional S/A;156;Pleno;Publicada em 30/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Consignado + Previdência privada + Refeitório + Seguro de vida;"Estamos em busca de um Analista de Controladoria Pleno para se juntar à nossa equipe! Se você é apaixonado por finanças e tem experiência em controladoria, essa pode ser a oportunidade que você estava procurando. Responsabilidades: • Preenchimento de viabilidades econômicas com cálculos de custo estimados para as linhas de negócio da companhia; • Suporte ao time de Suprimentos referente análise de impacto nas variações de compra de materiais futuros e montagem de relatório gerencial; • Formação de preços intercompany para mudança estratégica de produtos na companhia; • Acompanhamento de variações entre viabilidades e implementações de projetos; • Manutenção de banco de dados referente à controles internos do time de Controladoria (Projetos e Novos Negócios) Requisitos: • Formação superior em contabilidade, administração, economia ou correlatas; • Necessária vivência prévia em Controladoria, Custos ou FP&A • Conhecimento em SAP; • Dominio do Excel; • Conhecimento em Power BI; • Desejável conhecimento em DRE (Receita, Custo e Despesa) para modelagem financeira • Desejável conhecimento em Power Point e Think-Cell  Se você se encaixa nesse perfil e está em busca de novos desafios, candidate-se agora mesmo através do botão abaixo!";Conheça a União Química: Que tal trabalhar em uma empresa que está posicionada como uma das maiores, mais sólidas e inovadoras empresas do ramo farmacêutico?  Com capital 100% nacional e mais de 86 anos de trajetória, fornecemos produtos de alta qualidade a custos cada vez mais competitivos, por meio da atuação de nossas cinco unidades de negócios:   A União Química possui orgulho de sua trajetória e busca construir um futuro ainda mais brilhante. Com uma visão sempre inovadora e focada no cliente, buscamos talentos que contribuam para a construção de uma empresa que busca renovação em cada nova etapa, no desenvolvimento de seus produtos e na condução de seus negócios. Se identificou? Gosta de desafios? Venha fazer parte da União Química!
Analista de Contabilidade Sênior;União Química Farmacêutica Nacional S/A;157;Sênior;Publicada há 6 dias;a combinar;Distrito Federal;Regime CLT;Assistência médica + Assistência odontológica + Consignado + Previdência privada + Refeitório + Seguro de vida;"Estamos em busca de um Analista de Contabilidade Sênior para se juntar à nossa equipe! Se você é apaixonado por contabilidade e tem experiência em rotinas contábeis essa pode ser a oportunidade perfeita para você.  Responsabilidades: - Consolidação das Demonstrações Financeiras; - Elaboração das Demonstrações Financeiras Individuais, consolidadas e notas explicativas; - Preparação de relatórios gerenciais (KPIs) para Diretoria; - Conversão de balanço de empresas no exterior; - Atendimento Auditoria interna e externa; Requisitos: - Formação em Ciências Contábeis; - Experiência contabilidade societária; - Conhecimento em normas brasileiras de contabilidades (NBC/CPCs) e internacionais (USGAAP/IFRS); - Conhecimento da Lei das S.A 6.404/76; Lei 11638/2007, Lei 13818/2019; - Vivência com normas da CVM; - Habilidade para analisar e interpretar dados contábeis; - Domínio do pacote office;  Se você se encaixa nesse perfil, clique no botão ""Candidate-se"" abaixo e envie seu currículo para nós. Estamos ansiosos para conhecê-lo! Será um diferencial:  - Conhecimento em Power BI; - Domínio do Inglês e Espanhol;";Conheça a União Química: Que tal trabalhar em uma empresa que está posicionada como uma das maiores, mais sólidas e inovadoras empresas do ramo farmacêutico?  Com capital 100% nacional e mais de 86 anos de trajetória, fornecemos produtos de alta qualidade a custos cada vez mais competitivos, por meio da atuação de nossas cinco unidades de negócios:   A União Química possui orgulho de sua trajetória e busca construir um futuro ainda mais brilhante. Com uma visão sempre inovadora e focada no cliente, buscamos talentos que contribuam para a construção de uma empresa que busca renovação em cada nova etapa, no desenvolvimento de seus produtos e na condução de seus negócios. Se identificou? Gosta de desafios? Venha fazer parte da União Química!
Analista Financeiro Pl;Grupo Protege;158;Pleno;Publicada em 18/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Seguro de vida + Vale-refeição + Vale-transporte;Oportunidade Protege Bank.  O que o profissional realizará:    O que precisa para trabalhar conosco:  ;De Pessoas para Pessoas: nosso verdadeiro diferencial.  Vem pra Protege!  Já pensou em trabalhar em uma empresa com mais de 50 anos de história e excelência na prestação de serviços, que ofereça oportunidades para o desenvolvimento profissional e pessoal dos colaboradores, valorizando o seu trabalho como parte fundamental do negócio? É assim que fazemos aqui no Grupo Protege!  Estamos empenhados em construir uma cultura ainda mais diversa, fundamentada no respeito, na colaboração, na promoção de relacionamentos de qualidade e na valorização das diferenças. Aqui, nossa prioridade são as pessoas, e oferecemos oportunidades a todos os profissionais, independentemente de sua origem, gênero, cor, deficiência, orientação sexual ou crenças.  Trabalhar aqui não é apenas ter um emprego, é participar da família Protege!  Atenção: A Protege alerta que não faz nenhum tipo de cobrança de valores para participação em processo seletivo.   Nos termos da Lei Geral de Proteção de Dados(LGPD) – Lei nº 13.709/18, com o objetivo de proteger e garantir o exercício dos direitos à privacidade, intimidade, liberdade e livre consentimento, a candidatura realizada registra o CONSENTIMENTO do Titular de Dados Pessoais (CANDIDATO), para que estes sejam tratados com a finalidade de recebimento de informações curriculares, avaliando-as e selecionando-as para eventual processo de seleção e recrutamento para admissão e ingresso como colaborador no quadro de empregados da PROTEGE, que manterá em seus bancos de dados os dados curriculares do Titular dos Dados (CANDIDATO) por 36 meses (3 anos). Após o período de 36 meses (3 anos) da candidatura, na hipótese de não contratação do Titular dos Dados Pessoais (CANDIDATO), ou na hipótese de revogação do presente termo de consentimento, a PROTEGE promoverá o término do tratamento dos dados pessoais objeto do presente consentimento, ressalvadas as hipóteses que deverá os manter em seus bancos de dados por obrigação legal ou regulatória
Analista de Marketing;New Open;159;Pleno;Publicada em 30/09/2024;R$ 2.500 a R$ 3.500;Rio de Janeiro;Regime CLT;Vale-refeição + Vale-transporte;Estamos à procura de um(a) Analista de Marketing talentoso e motivado para se juntar à nossa equipe dinâmica. O(a) candidato(a) ideal terá um forte conhecimento em estratégias de marketing digital, análises de mercado e será capaz de desenvolver e implementar planos eficazes de marketing para aumentar o reconhecimento da marca e impulsionar o crescimento dos negócios.  Responsabilidades:  Qualificações:   Diferenciais: ;Somos a empresa de bar mais presente em festas e eventos no Rio de Janeiro! Produzimos desde elegantes casamentos até grandes festivais de música e eventos corporativos, promovendo não apenas eventos inesquecíveis mas também uma cultura de apreciação por coquetéis finamente elaborados.
Analista de Laboratório Jr;Merieux Nutrisciences;160;Júnior/ Trainee;Publicada em 01/10/2024;R$ 2.556;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio farmácia + Convênio com empresas parceiras + Ginástica laboral + Participação nos Lucros ou Resultados;"Principais atividades: • Realizar análises críticas visando garantir a qualidade e atender as necessidades do cliente; • Parametrizar e operar os equipamentos computadorizados desde a calibração até a liberação dos resultados para posterior assinatura quando necessário e solicitado pelo gestor; • Controlar quantidade, validade e eficácia dos Padrões Analíticos visando garantir qualidade nas análises; • Realizar a leitura dos dados dos ensaios laboratoriais, analisar e efetuar o lançamento dos resultados no Sistema quando necessário e solicitado pelo gestor; • Atuar no preparo, fracionamento e realização do ensaio analíticos; • Preparar de reagentes e todos os demais materiais que serão utilizados nos ensaios; • Executar os ensaios de proficiência quando necessário e solicitado pelo gestor; • Lançar no sistema e analisar as cartas controle, encaminhar para o responsável quando não conforme, visando garantia da qualidade quando necessário e solicitado pelo gestor; • Realizar descarte de amostra após conclusão dos ensaios; • Leitura + Repique       Vaga aberta também para portadores de necessidades especiais.";Nossa missão A Mérieux NutriSciences dedica-se a proteger a saúde dos consumidores em todo o mundo, oferecendo uma vasta gama de soluções em análises e estudos às empresas dos setores de alimentos, água e meio ambiente, agroquímicos, fármacos e bens de consumo.   Nossa visão Seguindo os passos da família Mérieux e Dr. Silliker, colocamos a saúde e o bem-estar dos consumidores no centro das nossas atividades. Fornecemos os melhores serviços aos nossos clientes para ajudá-los a garantir a segurança e qualidade de seus produtos e prevenir riscos à saúde.   Nossos valores Colaboração Equilíbrio na Vida Empoderamento Empreendedorismo Relações Autênticas    Nossos números no mundo Estamos presentes em 27 países. Temos mais de 8000 colaboradores comprometidos com as necessidades dos nossos clientes. Operamos mais de 100 laboratórios acreditados em todo o mundo.  A Mérieux Nutrisciences acredita na igualdade de oportunidades. Independentemente de gênero, idade, raça, cor, credo, orientação sexual e deficiência, todos os candidatos qualificados serão considerados em nossos processos.
Analista de Infraestrutura Jr;Soulan Recursos Humanos;161;Júnior/ Trainee;Publicada em 04/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Refeitório + Vale-alimentação + Vale-transporte;"Oportunidade para atuar em uma empresa consolidada do segmento de elétrico, aeroespacial, veículos e eMobility.  Tipo de Vaga: Contrato Terceiro; Horário de Trabalho: 06:30 às 14:30 (Em Valinhos) e 08:00 às 17:00 (Em Porto Feliz); Local de Trabalho: Segunda, Quarta e Sexta-feira em Valinhos - SP e Terça e Quinta-feira em Porto Feliz - SP. (A empresa reembolsará o valor de combustível e pedágio em KM); Modelo de Atuação: 100% Presencial  O QUE VOCÊ IRÁ FAZER: • Atendimentos a incidentes e solicitações de usuários de recursos de tecnologia da informação presencialmente nas plantas de Valinhos e Porto Feliz; • Atendimentos a ambientes de fábrica (PCs conectados a linhas automatizadas de produção), atuar na renovação regular de PCs (configuração, trocas, limpeza dos dados para devolução) O QUE É NECESSÁRIO: • Formação: Ensino Superior Completo em TI ou infraestrutura de TI; • Idiomas: Inglês Intermediário/Avançado (conversação); • Conhecimentos: Sistemas operacionais Microsoft, Pacote Office Intermediário/avançado, Redes e Servidores (foco e dispositivos pessoais, notebook, computador, impressora) Conhecimentos em ITIL.; • Experiência: com resolução de chamados, configuração de dispositivos pessoais (notebook, desktop e impressora) e suporte a usuários.";Desenvolvendo projetos em recursos humanos desde 1988, o Grupo Soulan conta com uma equipe altamente capacitada e especializada, assessorando seus clientes na atração, avaliação, desenvolvimento e retenção do capital humano, para que estes possam focar seus esforços e atenções às principais necessidades do seu negócio, gerando assim, expressivos ganhos de performance e resultados. Nestas quase três décadas de dedicação e parceria com o mercado, o Grupo Soulan já atendeu cerca de 5 mil empresas, envolvendo mais de meio milhão de profissionais, entre contratados, desenvolvidos e administrados. Com seis unidades próprias no Estado de São Paulo e uma ampla rede de atendimento, fornece soluções em recursos humanos por todo o território nacional e possui cerca de 400 parceiros internacionais, abrangendo todos os continentes!
Analista de Validação Jr;Confidencial;162;Júnior/ Trainee;Publicada em 12/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio creche + Auxílio desenvolvimento + Auxílio estacionamento;Atribuições do cargo:;
Analista de Sourcing Pleno;União Química Farmacêutica Nacional S/A;163;Pleno;Publicada em 19/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio creche + Auxílio estacionamento + Auxílio farmácia;"Requisitos:  • Ensino superior completo em Farmácia, Química, Engenharia Química, Administração, Economia ou áreas afins; • Desejável experiência anterior no Segmento Farmacêutico – P&D, Qualidade ou Compras Diretas; • Desejável experiência em negociações; • Inglês fluente ou avançado; • Conhecimento no pacote Office; • Desejável conhecimento SAP (módulo MM).  Atividades:  • Prospecção de novos fabricantes de matérias-primas e materiais de embalagem em âmbito nacional e internacional que atendam as normas do mercado brasileiro; • Negociação comercial para viabilidade econômica do projeto, com foco em redução de custos utilizando a metodologia Strategic Sourcing; • Relacionamento com clientes externos para desenvolvimento de novos fornecedores de matérias-primas e materiais de emabalagem; • Solicitar, analisar e consolidar as documentações legais dos fabricantes e documentação técnica da matéria prima e materiais de embalagem referentes aos processos; • Emissão dos pedidos de compras, Follow up com os fornecedores e despachantes; • Contatar demais áreas sempre que houver necessidade da confirmação de dados e/ou documentações dos processos de Compras Diretas; • Relacionamento com os clientes internos para mitigação de riscos e melhoria dos processos (interface das áreas de P&D, Compras, GQ, Projetos, Comercial, Industrial, Fiscal, Financeiro).   Espanhol - Nível Fluente e Inglês - Nível Avançado ";Conheça a União Química: Que tal trabalhar em uma empresa que está posicionada como uma das maiores, mais sólidas e inovadoras empresas do ramo farmacêutico?  Com capital 100% nacional e mais de 85 anos de trajetória, fornecemos produtos de alta qualidade a custos cada vez mais competitivos, por meio da atuação de nossas cinco unidades de negócios: Farma: unidade de negócios que dispõe de marcas renomadas e um vasto portfólio de medicamentos genéricos, similares e OTC. Genom: com linhas de produtos de prescrição médica, a Genom é responsável pela inserção nos segmentos de Oftalmologia, Ginecologia, Ortopedia, Dermatologia e Sistema Nervoso Central. Hospitalar: tem como nicho de mercado os hospitais públicos e privados, bem como clínicas e distribuidores. Agener Saúde Animal: destaque no mercado veterinário com sua ampla linha de produtos para Animais de Companhia (Pet), Animais de Produção (Bovinos, Ovinos, Caprinos e Suínos) e Reprodução Animal (Tecnopec). Terceirização: dedicada terceirização da produção de medicamentos, atende diversas indústrias farmacêuticas nacionais e multinacionais do segmento. A União Química possui orgulho de sua trajetória e busca construir um futuro ainda mais brilhante. Com uma visão sempre inovadora e focada no cliente, buscamos talentos que contribuam para a construção de uma empresa que busca renovação em cada nova etapa, no desenvolvimento de seus produtos e na condução de seus negócios. Se identificou? Gosta de desafios? Venha fazer parte da União Química! 
