nome_vaga;empresa;id;nivel_experiencia;data_publicacao;faixa_salario;localizacao;modelo_contrato;beneficios;descricao_vaga
Engenheiro de Gestão de Ativos e Confiabilidade - Elétrica;Orizon Meio Ambiente;41;Sênior;Publicada em 04/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Cesta de natal, Seguro de vida;O Engenheiro de Confiabilidade será responsável por assegurar a integridade, disponibilidade e eficiência dos sistemas elétricos, instrumentação e automação em nossas plantas de biogás, biometano e usinas termoelétricas. Essa posição envolve análise de dados, manutenção preventiva, resolução de problemas, colaboração com equipes multidisciplinares e gestão de ativos.  Entre as responsabilidades estão:
Estágio em Engenharia Industrial | Manaus AM;Michelin;42;Estágio;Publicada em 24/09/2024;R$ 1.650;Manaus;Estágio;Auxílio fretado, Desconto em produtos, Programa de treinamentos, Refeitório, Sala de Jogos;"Estágio em Engenharia Industrial | Manaus AM  Estamos em busca de um estagiário para atuar na área de Engenharia Industrial em nossa empresa em Manaus AM. O candidato irá auxiliar em atividades relacionadas à melhoria de processos produtivos, análise de dados, elaboração de relatórios e suporte à equipe de engenharia. Requisitos: Cursando Engenharia Industrial, Produção, Mecânica, Elétrica, ou áreas afins; Cursando a partir do 4º período; Desejável conhecimento em ferramentas de melhoria contínua; Conhecimento em Excel avançado; Disponibilidade para estagiar por 6 horas diárias; Atividades: Auxiliar na implementação de projetos de melhoria contínua; Realizar análises de processos produtivos; Participar de reuniões com a equipe de engenharia; Elaborar relatórios e apresentações.  Se você se identifica com a área de Engenharia Industrial e quer fazer parte de uma empresa líder em seu segmento, candidate-se através do botão abaixo.  Seja protagonista da sua carreira!  Estamos ansiosos para receber sua candidatura!  A Michelin não cobra qualquer valor para cadastro ou participações em processo seletivo. Se algum pedido desta natureza for feito a você, recuse! Inglês - Nível Básico"
10661 - Analista de Engenharia de Produto - Rac (Manaus);Talent Group;43;Sênior;Publicada em 04/10/2024;a combinar;Amazonas;Regime CLT;Assistência médica, Assistência odontológica, Auxílio fretado, Participação nos Lucros ou Resultados, Previdência privada, Refeitório;Principais responsabilidades: Elaborar a projeção de custo de produtos Analisar a evolução do custo de produto realizado versus projeções Identificar variações e endereçar plano de ação para correção do processo de custeio junto a time multifuncional  Principais desafios da área: Gestão do tempo, responsabilidade, organização. Ter senso de urgência e proatividade. Padronização e normatização dos processos. Comunicação com times internos e externos.  Liderar projetos de desenvolvimento de novos produtos e alterações técnicas de produtos do portifólio. Elaborar/gerenciar cronogramas de projetos, identificando o caminho crítico e garantindo a entrega das atividades conforme o planejado. Conduzir reuniões de acompanhamento e preparar de materiais para apresentação dos projetos. Realizar análise técnica de benchmarking de produtos.  Requisitos: Ensino superior completo em Engenharia (Mecânica, Elétrica, Eletrônica, Mecatrônica ou Produção). Experiência com Excel avançado (VBA, formulas avançadas etc) e/ou linguagem de programação. Pós-graduação na área de gestão, finanças ou ciência de dados é um diferencial. Inglês avançado (Conversação, escrita e leitura) Proficiência com ferramentas Office (Excel, Word, Power Point, Project, Power BI) Experiência com desenvolvimento de produtos de refrigeração (freezer, geladeira, ar condicionado) Inglês - Nível Avançado
Auxiliar Administrativo - Engenharia Clínica - Hospital Biocor;Rede D'Or;44;Auxiliar/ Operacional;Publicada em 15/10/2024;a combinar;Minas Gerais;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio fretado, Cesta de natal, Convênio com empresas parceiras;" - Formação: Ensino Médio completo com certificado;   - Desejavel Experiência em rotinas administrativas, conhecimento no Pacote Office e boa digitação.     - Executar serviços de apoio administrativo do setor.  -Organizar e controlar a documentação (correspondências, solicitações, requisições e documentos do sistema integrado de gestão);  -Organizar e controlar os manuais de Operação e Serviços;  -Organizar e controlar o sistema de estoque;  -Lançar os dados do sistema de manutenção;  -Fazer a operação de aplicativos na área de informática (Windows, Word e Excel);  -Atuar na obtenção dos objetivos do Sistema Integrado de Gestão;  -Conhecer, aplicar e divulgar a Política do Sistema Integrado de Gestão, a Missão e a Visão do Hospital.  -Durante a execução de sua atividade, se necessário, orientar os colaboradores, quanto aos aspectos técnicos ou outros inerentes a realização dos serviços;  -Cumprir as determinações estabelecidas para a gestão de riscos;  -Atuar seguindo as políticas e os procedimentos de Segurança da Informação da instituição;  -Participar do processo de avaliação dos riscos do setor.    - Local de trabalho: Biocor- Nova Lima   - Escala de trabalho: Seg. a sex. de 08h às 17:45h   - Disponibilidade para treinamento."
Engenheiro de Planejamento (VAGA Extensiva para Pessoas com Deficiência);Concremat;45;Pleno;Publicada em 04/10/2024;a combinar;Ipatinga;Regime CLT;; Empresa de Engenharia Consultiva
Bolsista Mestre [engenharias, Estatística, Ciências, Matemática] Bosch;IEL /SP - Inova Talentos;46;Júnior/ Trainee;Publicada em 26/09/2024;a combinar;100% Home Office;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Assistente Administrativo - Engenharia Clínica - Hospital Nossa Senhora das Neves;Rede D'Or;47;Júnior/ Trainee;Publicada em 09/10/2024;a combinar;João Pessoa;Regime CLT;Assistência médica, Assistência odontológica, Convênio com empresas parceiras, Desconto em produtos, Refeitório, Seguro de vida;" - Ensino médio completo; - Desejável conhecimento em Eletrônica e/ou Equipamentos Biomédicos - Conhecimento no pacote office; - Experiência na área será um diferencial.      - Contribuir com informações para orçamentos, relatórios, projetos, políticas, procedimentos e normas;  - Executar os procedimentos de recebimento, armazenamento, controle, separação, expedição e dispensação de insumos;  - Lançar dados, gerando informações que garantam o desenvolvimento de relatórios fidedignos e transparentes;  - Informar ao seu superior imediato, através de parecer técnico, laudo de equipamento que venha a sofrer danos nos seus ambientes de trabalho, bem como orientá-los sobre as medidas de eliminação e neutralização;  - Lançar os dados colhidos das manutenções corretivas e preventivas dos técnicos no sistema de gerenciamento de equipamentos;  - Dentre outras atividades..      - Local de trabalho: Hospital Nossa Senhora das Neves - João Pessoa/PB; - Escala de trabalho; - Disponibilidade para treinamento."
Bolsista Graduado [engenharia Mecânica Ou Mecatrônica] Rhodia Brasil S.a;IEL /SP - Inova Talentos;48;Júnior/ Trainee;Publicada em 16/10/2024;a combinar;Santo André;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Engenheiro Mecânico de Manutenção (VAGA Extensiva para Pessoas com Deficiência);Concremat;49;Pleno;Publicada em 08/10/2024;a combinar;Minas Gerais;Regime CLT;; Empresa de Engenharia Consultiva
Bolsista Doutor [ciência da Computação, Engenharia, Análise e Desenvolvimento] Shopping do Cidadao;IEL /SP - Inova Talentos;50;Júnior/ Trainee;Publicada em 15/10/2024;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Engenheiro Civil com Foco em Saneamento (VAGA Extensiva para Pessoas com Deficiência);Concremat;51;Pleno;Publicada em 07/08/2024;a combinar;Distrito Federal;Regime CLT;Assistência médica, Vale-refeição, Vale-transporte;Estamos em busca de um Engenheiro Civil com foco em atuação em hidráulica ou saneamento para se juntar à nossa equipe. Local: Brasília/DF Formação: Engenheiro Civil, Mestrado em: Hidráulica, Saneamento ou recursos hídricos. Principais Atividades:  Experiência Desejável:  Conhecimento em simulação de sistemas hidráulicos, controle de perdas de água ou projetos de rede de distribuição de água.
Comprador Jr - Instrumentais Cirúrgicos, Acessórios de Enfermagem & Eng. Clínica - Corporativo SP;Rede D'Or;52;Júnior/ Trainee;Publicada em 09/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Convênio com empresas parceiras, Desconto em produtos, Refeitório, Seguro de vida;" - Formação: Ensino superior completo; - Experiência com compras de Acessórios de Eng. Clínica, Instrumentais Cirúrgicos e Acessórios de Enfermagem; - Pacote office intermediário, com foco em Excel.    - Assegurar o abastecimento dos insumos hospitalares utilizados pela empresa, dentro dos padrões estabelecidos de prazo e qualidade dos produtos; - Negociação com fornecedores, visando ao fechamento de compras dentro das melhores condições de preço, qualidade prazo de entrega; - Emitir os pedidos de compra e encaminhá-los aos fornecedores, fazendo o acompanhamento do processo de entrega e cumprimento final de todas as condições negociadas; - Atualizar bancos de dados internos com informações de pedidos (datas, fornecedores, quantidades, descontos; - Realizar Follow-up dos pedidos, visando assegurar sua entrega no prazo estabelecido, acompanhar processo de devolução de mercadorias entregues em desacordo com o pedido; - Solicitar cadastro de fornecedor, junto ao portal; - Pesquisar no mercado fornecedores e insumos alternativos, conforme as possibilidades do processo produtivo, visando melhorar a qualidade dos produtos, reduzir custos nas aquisições, através de coleta de preços, identificar as melhores oportunidades de compras; - Arquivar ordens de compra e documentos em geral após processo finalizado.    - Local de trabalho: Corporativo SP (Vila Nova Conceição/SP) – Atuação Híbrida; - Escala de trabalho: (5X2) 2ª a 5ª 8h as 18h / 6ª 8h as 17h."
Bolsista Doutor [ciência da Computação, Engenharias Ou Áreas Afins] Companhia Brasileira de Aluminio;IEL /SP - Inova Talentos;53;Júnior/ Trainee;Publicada em 08/10/2024;a combinar;São Paulo;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Auxiliar de Controle de Obras - Estudante Arquittura e Urbanismo/ Engenharia Civil/ Técnico em Edificações;Tibério Construções e Incoporações;54;Auxiliar/ Operacional;Publicada em 10/10/2024;a combinar;São Paulo;Regime CLT;Vale-refeição, Vale-transporte;"1. Coletar informações e dados das obras in loco; 2. Alimentar planilhas de excel; 3. Realizar levantamentos fotográficos; 4. Conferir FVSs em obras; 5. Descrever em formato de relatório processos executivos e informações das obras; 6. Treinar o pessoal de obras nos procedimentos de execução de serviços e segurança das obras (PESS). 7. Manter histórico de medições e notas fiscais de ensaios em laboratórios; 8. Controlar e conferir os mapas de concretagem e as fichas de moldagens; 9. Alimentar o portal com os dados de obras, projetos e laboratórios; 10. Apresentar os problemas ocorridos através de triagens de informações nos relatórios gerados pelo excel.  Cursando Engenharia Civil, Arquitetura e Urbanismo ou Técnico de Edificações."
Bolsista Graduação [ciência da Comp., Engenharia, Análise e Desenvolvimento] Cix Citizen Experience;IEL /SP - Inova Talentos;55;Sênior;Publicada ontem;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Bolsista Graduado [química, Engenharia Química, Farmácia] Químicos e Soluções Sustentáveis do Brasil;IEL /SP - Inova Talentos;56;Júnior/ Trainee;Publicada em 04/10/2024;a combinar;Paulínia;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Técnico de Campo - V025617;Lyon Engenharia;57;Técnico;Publicada em 11/10/2024;a combinar;Parauapebas;Regime CLT;Assistência médica, Assistência odontológica, Auxílio fretado, Restaurante interno, Seguro de vida;Realizar medições e coleta de dados em campo, utilizando equipamentos e instrumentos específicos para cada tipo de projeto (topografia, geologia, meio ambiente, etc.). Conduzir ensaios e testes de campo, como sondagens, análise de solo e água, garantindo que os procedimentos sejam realizados conforme as normas técnicas. Processar e analisar os dados coletados, elaborando relatórios que apresentem as informações de forma clara e precisa. Realizar a manutenção e calibração dos instrumentos e equipamentos utilizados, assegurando a qualidade e a precisão dos dados obtidos. Colaborar com engenheiros, geólogos e outros profissionais, discutindo os resultados e contribuindo para a tomada de decisões. Produzir relatórios técnicos com as informações coletadas, análises realizadas e recomendações, conforme a necessidade do projeto. Supervisionar e coordenar atividades de campo
Supervisor de Gestão de Ativos;Orizon Meio Ambiente;58;Supervisão/ Coordenação;Publicada em 04/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Cesta de natal, Seguro de vida;O Supervisor de Gestão de Ativos será responsável por liderar a equipe de engenheiros de gestão de ativos e confiabilidade, garantindo a eficiência, confiabilidade e vida útil dos ativos mecânicos e elétricos em nossas plantas de biogás, biometano e usinas termoelétricas. O supervisor atuará como ponto focal para a gestão estratégica dos ativos e aprimoramento contínuo dos processos.  Entre as responsabilidades estão: 
Fiscal de Campo IV (025635);Lyon Engenharia;59;Pleno;Publicada há 7 dias;a combinar;Todo o Brasil;Regime CLT;Assistência médica, Refeitório, Seguro de vida;Monitorar e inspecionar obras e serviços em execução, garantindo que estejam de acordo com as normas técnicas e especificações do projeto. Registrar dados sobre o andamento das atividades, quantitativos de materiais utilizados e condições do local, para compilar relatórios detalhados. Verificar se as atividades estão em conformidade com as legislações, normas de segurança e ambientais, além de regulamentações pertinentes. Trabalhar em conjunto com engenheiros, arquitetos e outros profissionais envolvidos, fornecendo feedback e orientações durante o processo de fiscalização. Elaborar relatórios técnicos sobre as inspeções realizadas, apontando irregularidades e sugerindo medidas corretivas. Organizar e manter atualizados os registros e documentos relacionados às atividades de fiscalização e obras.  Formação superior em Engenharia ou curso Técnico em Edificações e/ou em áreas correlatas. Sólida experiência em execução de projetos no segmento da mineração CNH B
Executivo de Vendas;Confidencial;60;Pleno;Publicada em 19/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Auxílio academia, Auxílio combustível, Programa de remuneração variável, Seguro de vida, Vale-alimentação;Atividades:    Requisitos:    Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.
Executivo de Vendas;Atex do Brasil;61;Pleno;Publicada em 17/09/2024;a combinar;Belém;Regime CLT;Assistência médica, Auxílio academia, Auxílio combustível, Programa de remuneração variável, Seguro de vida, Vale-alimentação;Atividades:   Requisitos:   Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.
Executivo de Vendas;Atex do Brasil;62;Pleno;Publicada em 24/09/2024;a combinar;Cascavel;Regime CLT;Assistência médica, Auxílio academia, Auxílio combustível, Programa de remuneração variável, Seguro de vida, Vale-alimentação;Atividades:     Requisitos:     Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.
Executivo de Vendas;Confidencial;63;Pleno;Publicada em 26/09/2024;a combinar;Rio Grande do Norte;Regime CLT;Assistência médica, Auxílio academia, Auxílio combustível, Programa de remuneração variável, Seguro de vida, Vale-alimentação;Atividades:      Requisitos:      Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.
Executivo de Vendas;Confidencial;64;Pleno;Publicada em 06/09/2024;a combinar;Cuiabá;Regime CLT;Assistência médica, Auxílio academia, Auxílio combustível, Programa de remuneração variável, Seguro de vida, Vale-alimentação;  Requisitos:    Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.
Executivo de Vendas;Confidencial;65;Pleno;Publicada em 01/10/2024;a combinar;Porto Alegre;Regime CLT;Assistência médica, Auxílio academia, Auxílio combustível, Programa de remuneração variável, Seguro de vida, Vale-alimentação;Atividades:   Requisitos:   Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.
Jovem Aprendiz - Belo Horizonte;Worley;66;Estágio;Publicada em 15/10/2024;a combinar;Belo Horizonte;Estágio;Assistência médica, Assistência odontológica, Seguro de vida, Vale-refeição, Vale-transporte;Não somos apenas engenheiros. Somos uma equipe global de cientistas de dados, consultores, trabalhadores da construção e inovadores, todos trabalhando para criar um amanhã melhor. Seja qual for a sua ambição, há um caminho para você aqui! #WeAreWorley  Estamos buscando uma pessoa Jovem Aprendiz para nosso escritório de Belo Horizonte para dar suporte à área de Engenharia na parte Técnica -Administrativa e interface com subáreas dentro da Worley.  Atividades:   Requisitos:   Se você tem paixão e talento para se manter atualizado, é hora de testar os limites do que você pode se tornar. Encontre seu futuro na Worley.  Observação: somente candidatos com qualificações e experiência adequadas serão contatados diretamente.  Inglês - Nível Básico 
Analista de Dados Jr;SulAmérica;67;Júnior/ Trainee;Publicada em 02/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio creche, Participação nos Lucros ou Resultados, Previdência privada, Seguro de vida;"Oportunidade para atuar junto ao time de dados, com as seguintes atividades: - Atuar em conjunto com outras áreas de negócio; - Entender a necessidade e os dados disponíveis para a construção de indicadores; - Capacidade para interpretar dados, descobrindo padrões e tendências, utilizando técnicas de exploração, visualização e storytelling; - Conduzir estudos de ponta a ponta com técnicas de análise de dados; - Desenvolver dashboards e construir pipelines de dados; - Explicar as análises para diversos públicos com clareza e objetividade; - Entre outras atividades.  Pré-requisitos: • Graduação superior cursando ou completo; • Conhecimento em SQL; • Experiência com ferramentas de visualização de dados para reportar dados e conduzir insights; • Noções de Estatística, será um diferencial. "
Analista de Dados;Confidencial;68;Pleno;Publicada em 01/10/2024;a combinar;100% Home Office;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Refeitório, Seguro de vida, Vale-refeição;Um analista de dados é um profissional que utiliza técnicas e habilidades analíticas para transformar dados brutos em informações úteis e compreensíveis, permitindo que as empresas tomem decisões estratégicas.  Experiência em dados, Planilhas, Excel, Power BI, Gráficos ter senso de urgência e proativo.
Analista Dados;Sodexo;69;Sênior;Publicada em 03/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Participação nos Lucros ou Resultados, Restaurante interno, Seguro de vida;"Este (a) colaborador (a) atuará no time de dados da Sodexo, sendo responsável pela transformação de dados do Digital, gerando insights que impulsionem os resultados do negócio e a estratégia digital com engajamento de usuário, garantindo o monitoramento de KPIs e embasamento para tomada de decisões e recomendações estratégicas.  Principais atividades: - Coletar, organizar, processar e analisar dados de diferentes fontes para status reporte, identificando tendências e padrões; - Desenvolver e manter dashboards e relatórios regulares para monitorar o desempenho de negócio nos canais digitais e identificar oportunidades de melhoria; - Elaborar apresentações em nível operacional e executivo; - Atuar em conjunto com as equipes de Dados, Marketing e Retail para assegurar compreensão de toda informação reportada; - Monitorar os principais indicadores de desempenho (KPIs) definidos como prioritários pela área; - Atuar como consultor interno para a equipe Digital e unidades de negócio fornecendo insights baseados em dados que influenciem as estratégias; - Assegurar que todas as atividades de análise de dados estejam em conformidade com as políticas de privacidade e governança de dados da empresa. Requisitos: - Ensino superior completo ou em andamento; - Excel (avançado); - Desejável Tableau e Power BI; - Experiência com Python, SQL,R e BI Analytics; - Disponibilidade para atuação em modelo híbrido em São Paulo, sendo três dias em home office e dois dias presencialmente. "
Analista de Dados;Andreani Logística;70;Júnior/ Trainee;Publicada em 30/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Vale-alimentação, Vale-refeição, Vale-transporte;  Profissional júnior com forte experiência em análise de dados, especializado no uso de ferramentas como Power BI e Excel. Capaz de coletar, organizar e interpretar grandes volumes de dados, oferecendo suporte para decisões estratégicas da empresa. O cargo será transversal a várias áreas, com reporte direto à Gerência de Planejamento e Controladoria, colaborando para integrar e otimizar processos em diferentes departamentos. Possui uma base teórica sólida e busca contínua por aprimoramento e desenvolvimento de habilidades práticas no campo da análise de dados.     Responsabilidades: • Coletar, organizar e analisar dados de diferentes fontes. • Desenvolver e manter relatórios e dashboards no Power BI para apoiar a tomada de decisões. • Criar e atualizar planilhas e relatórios no Excel, utilizando fórmulas e gráficos avançados. • Colaborar com outras equipes para entender suas necessidades de dados e desenvolver soluções analíticas apropriadas. • Apoiar na manutenção e atualização de bases de dados. • Atuar de forma transversal em diferentes áreas, facilitando a integração de processos, sob a orientação da Gerência de Planejamento e Controladoria.     Experiência Profissional: Estágio ou necessária boa experiência em análise de dados, com utilização predominante de Power BI e Excel.  Habilidades Técnicas: • Proficiência em Excel (tabelas dinâmicas, fórmulas avançadas, gráficos, entre outros). • Ampla experiência em Power BI (integração de dados, criação de dashboards, DAX). • Familiaridade com bancos de dados relacionais. • Conhecimento básico de ferramentas de ETL (Extract, Transform, Load).  Competências: • Forte capacidade analítica e de resolução de problemas. • Atenção aos detalhes e precisão na análise de dados. • Boa comunicação e habilidade de apresentar informações de maneira clara e concisa. • Capacidade de aprender rapidamente novas ferramentas e técnicas.  Conhecimentos Específicos: • Familiaridade com conceitos de modelagem de dados. • Entendimento básico de estatística e análise de dados. • Noções de programação (VBA, Python ou R) são um diferencial.  Competências Comportamentais: • Proatividade e disposição para aprender. • Capacidade de trabalhar em equipe e colaborar com colegas. • Boa organização e gestão do tempo. • Orientação para resultados e metas. 
Analista de Dados Sr;Marjan Farma;71;Sênior;Publicada em 01/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio estacionamento, Auxílio farmácia, Auxílio fretado;"Responsabilidades: Localidade: Santo Amaro – SP – 100% presencial. Conhecimentos necessários: Arquitetura e tratamento de dados; SQL; Python; Power BI; Azure; Data Fabric; Power Embedded. Graduação Completa em Ciência da Computação, Sistemas de Informação, Engenharia de Computação ou área correlata."
Analista de Dados;Confidencial;72;Pleno;Publicada em 07/10/2024;a combinar;Belo Horizonte;Regime CLT;Assistência médica, Assistência odontológica, Auxílio farmácia, Consignado, Convênio com empresas parceiras, Horário flexível;Descrição da Vaga:  Estamos em busca de um Analista de Dados especializado em CRM Pepidrive para se juntar ao nosso time no setor comercial. O profissional será responsável por analisar, interpretar e transformar dados em insights estratégicos que impulsionem as vendas e melhorem o relacionamento com os clientes.  Principais Responsabilidades: Analisar dados de vendas e CRM para identificar tendências e oportunidades. Gerar relatórios e dashboards utilizando o Pepidrive. Colaborar com as equipes de vendas e marketing para otimizar estratégias. Monitorar KPIs e propor melhorias contínuas nos processos. Realizar treinamentos e suporte para a equipe sobre o uso do CRM.  Requisitos: Formação em Estatística, Matemática, Ciência da Computação, ou áreas relacionadas. Experiência prévia com análise de dados e uso do CRM Pepidrive. Conhecimento em ferramentas de BI (ex: Tableau, Power BI). Habilidade em SQL e Excel avançado. Boa comunicação e trabalho em equipe.  Formação em Estatística, Ciência de Dados, Matemática, ou áreas relacionadas.  Experiência prévia com análise de dados e uso do CRM Pepidrive.  Conhecimento em ferramentas de BI (ex: Tableau, Power BI).  Habilidade em Power Bi, SQL e Excel avançado.  Boa comunicação e trabalho em equipe.  Desejáveis:  Experiência no setor comercial.  Conhecimento em técnicas de vendas e marketing.
Analista de Dados Sr.;Oceanpact;73;Sênior;Publicada em 09/10/2024;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Vale-alimentação, Vale-refeição;Descrição:  Estamos em busca de um Analista de Dados Sr. para se juntar à nossa equipe.  O profissional será responsável por garantir a excelência na análise e interpretação de dados financeiros e operacionais, oferecendo insights valiosos que suportem a tomada de decisões estratégicas e promovam a eficiência dos processos internos. Além de ter a missão de transformar grandes volumes de dados em informações acionáveis, contribuindo para o crescimento sustentável da empresa e o atingimento de suas metas financeiras e operacionais.  Principais Atividades:     Inglês - Nível Fluente 
